2022-10-08 14:06:36,705: Key.shift
2022-10-08 14:06:36,850: 'T'
2022-10-08 14:06:37,333: 'h'
2022-10-08 14:06:37,443: 'i'
2022-10-08 14:06:37,613: 's'
2022-10-08 14:06:37,749: Key.space
2022-10-08 14:06:37,970: 'i'
2022-10-08 14:06:38,095: 's'
2022-10-08 14:06:38,198: Key.space
2022-10-08 14:06:38,566: 'a'
2022-10-08 14:06:38,673: 'n'
2022-10-08 14:06:38,842: Key.space
2022-10-08 14:06:39,548: 'e'
2022-10-08 14:06:39,691: 'x'
2022-10-08 14:06:40,029: 'a'
2022-10-08 14:06:40,257: 'm'
2022-10-08 14:06:40,470: 'p'
2022-10-08 14:06:40,548: 'l'
2022-10-08 14:06:40,720: 'e'
2022-10-08 14:06:40,851: Key.space
2022-10-08 14:06:41,505: 'o'
2022-10-08 14:06:41,685: 'f'
2022-10-08 14:06:41,795: Key.space
2022-10-08 14:06:41,911: 't'
2022-10-08 14:06:42,026: 'h'
2022-10-08 14:06:42,181: 'e'
2022-10-08 14:06:42,291: Key.space
2022-10-08 14:06:42,933: Key.shift
2022-10-08 14:06:43,446: Key.shift
2022-10-08 14:06:43,477: Key.shift
2022-10-08 14:06:43,518: Key.shift
2022-10-08 14:06:43,548: 'K'
2022-10-08 14:06:43,862: 'e'
2022-10-08 14:06:43,980: 'y'
2022-10-08 14:06:44,145: Key.space
2022-10-08 14:06:44,669: Key.shift
2022-10-08 14:06:44,825: 'L'
2022-10-08 14:06:45,001: 'o'
2022-10-08 14:06:45,261: 'g'
2022-10-08 14:06:45,382: 'g'
2022-10-08 14:06:45,496: 'e'
2022-10-08 14:06:45,551: 'r'
2022-10-08 14:06:45,696: Key.space
2022-10-08 14:06:46,511: 'w'
2022-10-08 14:06:46,635: 'o'
2022-10-08 14:06:46,860: 'r'
2022-10-08 14:06:47,004: 'k'
2022-10-08 14:06:47,178: 'i'
2022-10-08 14:06:47,266: 'n'
2022-10-08 14:06:47,390: 'g'
2022-10-08 14:07:01,427: Key.ctrl_l
2022-10-08 14:07:01,505: '\x03'
2022-10-08 14:07:03,469: Key.ctrl_l
2022-10-08 14:07:03,594: '\x03'
2022-10-08 14:07:08,609: 't'
2022-10-08 14:07:08,740: 'a'
2022-10-08 14:07:08,907: 's'
2022-10-08 14:07:09,065: 'k'
2022-10-08 14:07:31,120: 'h'
2022-10-08 14:07:36,830: Key.ctrl_l
2022-10-08 14:07:36,931: '\x03'
